-85	31	63	517
7	-65	-100	-1012
-96	-69	-97	-1114
37	-41	13	-71
-38	-39	64	221
-70	-10	90	516
27	96	-36	261
47	25	36	430
55	-68	-32	-503
-15	25	79	669
31	92	97	1176
87	72	21	600
59	-18	-75	-550
15	35	71	693
-7	-26	52	233
28	48	27	463
-31	-82	-6	-477
-60	64	-63	-175
71	-6	-87	-562
-63	-47	-70	-782
55	-78	-51	-686
76	22	-31	-25
68	2	1	91
42	-36	64	316
31	-9	-93	-659
-43	-3	35	193
36	80	58	848
-5	-23	-92	-758
-88	-85	-3	-528
-25	-34	4	-161
-43	-1	85	553
35	13	40	386
-51	53	87	829
34	-53	-83	-806
