96	89	28	65	-77	54	814
-65	-9	80	11	-98	-65	-828
-41	-95	24	0	75	51	542
-91	-46	-63	-84	-39	8	-1171
-40	-58	92	45	-10	25	451
33	-90	-89	63	94	84	910
99	-14	-74	-99	63	-54	-632
-98	86	62	30	-93	-66	-556
38	-1	-86	-80	38	-9	-501
80	-27	-62	-46	-45	38	-398
72	-18	-40	-86	-7	70	-52
84	8	100	77	10	-14	943
-14	-15	-92	-7	-16	-67	-1044
-83	-34	-35	85	35	35	474
-91	-42	64	-19	92	-16	299
36	37	30	63	-1	-16	504
-55	9	100	100	13	-68	416
40	-18	-58	45	-66	36	-121
39	25	16	60	-14	-91	-207
47	-14	-40	-29	89	78	829
-94	-75	89	-23	40	31	285
-92	36	20	-42	-5	-61	-658
3	65	42	-13	40	56	940
-66	-71	-4	-25	84	-81	-546
64	9	74	80	-61	-87	-128
9	-31	68	-69	60	-17	91
21	39	2	62	-93	-99	-778
-71	36	5	-48	75	65	654
0	-95	89	-42	86	-62	-55
96	-62	92	-89	-30	92	393
-26	-69	29	-79	-88	-35	-1314
42	-33	93	48	-87	96	751
-89	-36	59	-37	94	57	729
41	46	13	8	9	80	926
-72	-25	87	-48	8	57	332
-47	68	-23	93	5	-61	82
-11	-92	-76	4	85	26	115
-88	97	32	-81	45	63	546
6	-72	-47	-15	-5	-20	-636
20	-89	-98	-68	75	81	63
-39	-91	-77	-41	80	-75	-907
-69	3	-68	-53	-88	39	-919
50	-64	-80	48	31	64	464
33	-48	87	77	-45	-54	9
-61	-82	-78	4	-59	-18	-1137
17	25	98	79	-36	-97	-1
27	-13	60	12	-59	22	118
-1	69	-80	-33	11	80	346
-98	6	70	-5	-82	90	220
-69	57	-7	-45	-5	58	162
93	-88	-100	-21	-89	43	-810
-80	-9	76	-19	-97	-58	-963
87	19	56	63	22	-14	809
-50	95	-52	23	-12	-97	-660
-90	-92	68	58	42	79	916
39	-64	-18	43	-3	-32	-208
79	73	-39	-1	76	-55	283
-58	88	-73	-90	71	85	431
-36	54	-28	-45	59	49	452
-13	20	-42	6	78	23	528
-66	-12	63	18	-4	43	454
-58	-13	-70	62	-36	-51	-696
3	-91	-84	-18	-88	-45	-1537
27	11	13	-26	-100	14	-487
-78	94	49	35	57	63	1278
87	-75	-64	52	15	-84	-544
-79	-78	-89	16	2	-38	-917
11	-62	64	63	-61	27	230
-40	0	15	1	-46	89	335
82	-85	-26	38	75	-85	-154
91	-45	-98	73	-45	-54	-630
96	60	58	35	-11	19	852
